carretera,traffic_imd_total,traffic_imd_pesado,traffic_match_count,traffic_heavy_share
N-339,8275.0,846.0,1.0,0.10223564954682779
N-340,16203.042591351768,2301.0366621005164,181.0,0.14201262813002014
N-340A,8996.518652184817,898.4136964613211,47.0,0.09986237245705483
N-340R,15834.0,1437.0,1.0,0.0907540735126942
N-341,4551.794901506372,448.7520278099652,2.0,0.09858792795375185
N-342,6449.645511344952,1115.3294968760276,4.0,0.1729288059187375
N-343,8012.0,2214.0,1.0,0.2763354967548677
N-344,5173.959467056442,1427.670339554756,19.0,0.2759338082652169
N-345,2298.0000000000005,225.0,1.0,0.09791122715404697
N-346,4304.0,110.00000000000001,1.0,0.02555762081784387
N-347AL,6225.0,494.0,1.0,0.07935742971887551
N-347GR,8956.0,710.0,1.0,0.07927646270656544
N-349,16113.606922126082,2299.2274412855377,4.0,0.142688564540345
N-350,18469.0,1126.0,1.0,0.06096702582706156
N-351,29292.001988071566,1317.502982107356,4.0,0.04497824978449326
N-352,11600.0,777.0,2.0,0.06698275862068966
N-354,11600.0,777.0,2.0,0.06698275862068966
N-357,36386.7142857143,2195.285714285715,5.0,0.06033206782695411
N-362,11600.0,777.0,1.0,0.06698275862068966
N-4,11871.02930518355,1537.3180242634314,26.0,0.12950166196558482
N-400,4419.9142386403055,448.65253208463406,38.0,0.1015070673006209
N-400A,267.17574692442884,28.671353251318106,2.0,0.10731270926109866
N-401,4626.531017586841,465.29775133432497,20.0,0.10057162689833653
N-401A,4609.285413744739,722.1157082748948,6.0,0.15666543584425674
N-403,6244.849805843197,662.2197207840236,39.0,0.10604253767070525
N-403A,3854.405204460966,243.25,6.0,0.06310960760390998
N-420,3597.6408729847867,524.6379275228352,73.0,0.14582832084836994
N-420A,4792.54336432798,396.8011834319526,18.0,0.08279553324137587
N-420B,1748.0,223.99999999999997,2.0,0.12814645308924483
N-430,3083.2573158655546,488.17339540389503,69.0,0.15833041014510701
N-430A,1649.0636576269042,243.4145015487704,19.0,0.1476077047862771
N-430C,13850.680327868851,740.9402810304449,6.0,0.053494865486109336
N-431,11207.281713593702,652.9138661822585,17.0,0.058258004292897944
