municipality_code,municipality_name,population_year,municipal_population
03037,Benimantell,2025,544.0
03038,Benimarfull,2025,465.0
03039,Benimassot,2025,85.0
03040,Benimeli,2025,474.0
03041,Benissa,2025,12524.0
03042,"Poble Nou de Benitatxell, el/Benitachell",2025,5026.0
03043,Biar,2025,3677.0
03044,Bigastro,2025,7545.0
03045,Bolulla,2025,487.0
03046,Busot,2025,3756.0
03047,Calp,2025,27440.0
03048,Callosa d'en Sarrià,2025,8301.0
03049,Callosa de Segura,2025,19895.0
03050,"Campello, el",2025,31567.0
03051,"Camp de Mirra, el/Campo de Mirra",2025,447.0
03052,Cañada,2025,1219.0
03053,Castalla,2025,11900.0
03054,Castell de Castells,2025,442.0
03055,Catral,2025,9649.0
03056,Cocentaina,2025,11486.0
03057,Confrides,2025,293.0
03058,Cox,2025,7714.0
03059,Crevillent,2025,30880.0
03060,Quatretondeta,2025,129.0
03061,Daya Nueva,2025,1882.0
03062,Daya Vieja,2025,714.0
03063,Dénia,2025,47568.0
03064,Dolores,2025,8335.0
03065,Elx/Elche,2025,245575.0
03066,Elda,2025,55554.0
03067,Fageca,2025,100.0
03068,Famorca,2025,44.0
03069,Finestrat,2025,9980.0
03070,Formentera del Segura,2025,4865.0
03071,Gata de Gorgos,2025,6804.0
03072,Gaianes,2025,586.0
03073,Gorga,2025,288.0
03074,Granja de Rocamora,2025,2717.0
03075,"Castell de Guadalest, el",2025,280.0
03076,Guardamar del Segura,2025,18541.0
03077,"Fondó de les Neus, el/Hondón de las Nieves",2025,2775.0
03078,Hondón de los Frailes,2025,1323.0
03079,Ibi,2025,24662.0
03080,Jacarilla,2025,2180.0
03081,Xaló,2025,3122.0
03082,Xàbia/Jávea,2025,30817.0
03083,Xixona/Jijona,2025,7667.0
03084,"Orxa, l'/Lorcha",2025,591.0
03085,Llíber,2025,952.0
03086,Millena,2025,266.0
03088,Monforte del Cid,2025,9372.0
03089,Monòver/Monóvar,2025,13098.0
03090,Mutxamel,2025,28689.0
03091,Murla,2025,574.0
03092,Muro de Alcoy,2025,9361.0
03093,Novelda,2025,26612.0
03094,"Nucia, la",2025,19329.0
03095,Ondara,2025,7729.0
03096,Onil,2025,8145.0
03097,Orba,2025,2402.0
03098,Orxeta,2025,934.0
03099,Orihuela,2025,84279.0
03100,Parcent,2025,1049.0
03101,Pedreguer,2025,8843.0
03102,Pego,2025,10852.0
03103,Penàguila,2025,305.0
03104,Petrer,2025,34035.0
03105,"Pinós, el/Pinoso",2025,8556.0
03106,Planes,2025,705.0
03107,Polop,2025,5894.0
03109,Rafal,2025,4823.0
03110,"Ràfol d'Almúnia, el",2025,742.0
03111,Redován,2025,8310.0
03112,Relleu,2025,1373.0
03113,Rojales,2025,17488.0
03114,"Romana, la",2025,2766.0
03115,Sagra,2025,443.0
03116,Salinas,2025,1822.0
03117,Sanet y Negrals,2025,721.0
03118,San Fulgencio,2025,9906.0
03119,Sant Joan d'Alacant,2025,26772.0
03120,San Miguel de Salinas,2025,7364.0
03121,Santa Pola,2025,39622.0
03122,Sant Vicent del Raspeig/San Vicente del Raspeig,2025,60428.0
03123,Sax,2025,10360.0
03124,Sella,2025,622.0
03125,Senija,2025,692.0
03127,Tàrbena,2025,667.0
03128,Teulada,2025,12932.0
03129,Tibi,2025,1831.0
03130,Tollos,2025,34.0
03131,Tormos,2025,329.0
03132,"Torre de les Maçanes, la/Torremanzanas",2025,757.0
03133,Torrevieja,2025,100470.0
03134,"Vall d'Alcalà, la",2025,159.0
03135,"Vall d'Ebo, la",2025,231.0
03136,"Vall de Gallinera, la",2025,589.0
03137,"Vall de Laguar, la",2025,914.0
03138,"Verger, el",2025,5560.0
03139,"Vila Joiosa, la/Villajoyosa",2025,37578.0
03140,Villena,2025,34729.0
03901,"Poblets, els",2025,2769.0
03902,Pilar de la Horadada,2025,24359.0
03903,"Montesinos, Los",2025,5759.0
03904,San Isidro,2025,2367.0
04001,Abla,2025,1267.0
04002,Abrucena,2025,1235.0
04003,Adra,2025,25579.0
04004,Albánchez,2025,684.0
04005,Alboloduy,2025,578.0
04006,Albox,2025,12872.0
04007,Alcolea,2025,831.0
04008,Alcóntar,2025,551.0
04009,Alcudia de Monteagud,2025,117.0
04010,Alhabia,2025,750.0
04011,Alhama de Almería,2025,4016.0
04012,Alicún,2025,203.0
04013,Almería,2025,204772.0
04014,Almócita,2025,215.0
04015,Alsodux,2025,125.0
04016,Antas,2025,3505.0
04017,Arboleas,2025,4182.0
04018,Armuña de Almanzora,2025,373.0
04019,Bacares,2025,226.0
04020,Bayárcal,2025,294.0
04021,Bayarque,2025,214.0
04022,Bédar,2025,973.0
04023,Beires,2025,140.0
04024,Benahadux,2025,4909.0
04026,Benitagla,2025,64.0
04027,Benizalón,2025,242.0
04028,Bentarique,2025,226.0
04029,Berja,2025,12997.0
04030,Canjáyar,2025,1143.0
04031,Cantoria,2025,3611.0
04032,Carboneras,2025,8456.0
04033,Castro de Filabres,2025,105.0
04034,Cóbdar,2025,171.0
04035,Cuevas del Almanzora,2025,15435.0
04036,Chercos,2025,305.0
04037,Chirivel,2025,1635.0
04038,Dalías,2025,4184.0
04041,Enix,2025,624.0
04043,Felix,2025,772.0
04044,Fines,2025,2390.0
04045,Fiñana,2025,1991.0
04046,Fondón,2025,1151.0
04047,Gádor,2025,3147.0
04048,"Gallardos, Los",2025,3109.0
04049,Garrucha,2025,10823.0
04050,Gérgal,2025,1244.0
04051,Huécija,2025,527.0
04052,Huércal de Almería,2025,18763.0
04053,Huércal-Overa,2025,20801.0
04054,Íllar,2025,484.0
04055,Instinción,2025,507.0
04056,Laroya,2025,198.0
04057,Laujar de Andarax,2025,1670.0
04058,Líjar,2025,381.0
04059,Lubrín,2025,1456.0
04060,Lucainena de las Torres,2025,725.0
04061,Lúcar,2025,826.0
04062,Macael,2025,5470.0
04063,María,2025,1202.0
04064,Mojácar,2025,7642.0
04065,Nacimiento,2025,485.0
04066,Níjar,2025,32772.0
04067,Ohanes,2025,553.0
04068,Olula de Castro,2025,175.0
04069,Olula del Río,2025,6499.0
04070,Oria,2025,2199.0
04071,Padules,2025,435.0
04072,Partaloa,2025,827.0
04073,Paterna del Río,2025,399.0
04074,Pechina,2025,4608.0
04075,Pulpí,2025,12462.0
04076,Purchena,2025,1568.0
04077,Rágol,2025,294.0
04078,Rioja,2025,1632.0
04079,Roquetas de Mar,2025,110054.0
04080,Santa Cruz de Marchena,2025,236.0
04081,Santa Fe de Mondújar,2025,523.0
04082,Senés,2025,278.0
04083,Serón,2025,2149.0
04084,Sierro,2025,364.0
04085,Somontín,2025,503.0
04086,Sorbas,2025,2544.0
04087,Suflí,2025,223.0
04088,Tabernas,2025,4024.0
04089,Taberno,2025,953.0
04090,Tahal,2025,357.0
04091,Terque,2025,389.0
04092,Tíjola,2025,3560.0
04093,Turre,2025,4482.0
04094,Turrillas,2025,258.0
04095,Uleila del Campo,2025,816.0
04096,Urrácal,2025,348.0
04097,Velefique,2025,230.0
04098,Vélez-Blanco,2025,1950.0
04099,Vélez-Rubio,2025,6670.0
04100,Vera,2025,20193.0
04101,Viator,2025,6422.0
04102,Vícar,2025,29104.0
04103,Zurgena,2025,3030.0
04901,"Tres Villas, Las",2025,551.0
04902,"Ejido, El",2025,90617.0
04903,"Mojonera, La",2025,8690.0
04904,Balanegra,2025,3040.0
05001,Adanero,2025,214.0
05002,"Adrada, La",2025,2861.0
05005,Albornos,2025,170.0
05007,Aldeanueva de Santa Cruz,2025,102.0
05008,Aldeaseca,2025,211.0
05010,"Aldehuela, La",2025,142.0
05012,Amavida,2025,131.0
05013,"Arenal, El",2025,977.0
05014,Arenas de San Pedro,2025,6480.0
05015,Arevalillo,2025,59.0
05016,Arévalo,2025,7875.0
05017,Aveinte,2025,67.0
05018,Avellaneda,2025,23.0
05019,Ávila,2025,59480.0
